Hatch,"Carros compactos com porta-malas integrado à cabine, ideais para uso urbano."
Sedã,"Carros com três volumes (motor, cabine e porta-malas) e bom espaço interno."
SUV,"Carros utilitários esportivos com maior altura do solo e robustez, ideais para diversos terrenos."
Crossover,"Carros que combinam características de SUVs e hatches, oferecendo versatilidade e conforto."
Minivan,"Carros monovolume com grande espaço interno, ideais para famílias numerosas."
Picape,"Carros com caçamba para transporte de carga, ideais para trabalho e lazer."
Station Wagon,"Carros com carroceria alongada e porta-malas amplo, ideais para viagens e famílias."
Cupê,"Carros esportivos com design elegante e baixo perfil, geralmente com duas portas."
Conversível,"Carros com capota retrátil que permite dirigir ao ar livre."
Esportivo,"Carros de alta performance e design aerodinâmico, ideais para quem busca adrenalina."
Luxo,"Carros com alto nível de acabamento, tecnologia e conforto, para quem busca exclusividade."
Elétrico,"Carros movidos a energia elétrica, ecológicos e silenciosos."
Híbrido,"Carros que combinam motor a combustão e elétrico, oferecendo economia e desempenho."